DEFC_CODE,DEFC_TITLE
A,Emergency PL 115-56 
B,Emergency PL 115-72 
C,Emergency PL 115-123
D,Emergency PL 115-254
E,Emergency PL 116-20 
F,Emergency PL 116-26 
G,Emergency PL 116-93 
H,Disaster PL 116-93 
I,Emergency PL 116-94 
J,Wildfire Suppression PL 116-94 
K,Emergency PL 116-113
L,Emergency PL 116-123
M,Emergency PL 116-127
N,Emergency PL 116-136
O,"Nonemergency PLs 116-136, 116-139, 116-260 (Division N), 117-2  "
P,Emergency PL 116-139
Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression 
R,Emergency PL 116-260 (Divisions A-L)
S,Disaster PL 116-260
T,Wildfire Suppression PL 116-260
U,Emergency PL 116-260 (Division M)
V,Nonemergency PL 117-2  
W,Emergency PL 117-31 
X,Emergency PL 117-43 
Y,Disaster PL 117-43 
Z,Emergency PL 117-58  (Division J)
1,"Nonemergency PL 117-58  (Divisions A-I, K)"
2,Emergency PL 117-70 
3,Emergency PL 117-103
4,Disaster PL 117-103
5,Wildfire Suppression PL 117-103
6,Emergency PL 117-128
7,Emergency PL 117-159 (Division B)
8,Emergency PL 117-167 (Division C)
AAA,Emergency PL 117-180
AAB,Emergency PL 117-328
AAC,Wildfire Suppression PL 117-328
AAD,Disaster PL 117-328
AAE,Emergency PL 118-15 
