daimsname,fieldname,fieldname_short,required,data_type,field_length,padded_flag
ActionDate,actiondate,action_date,TRUE,str,8,
ActionType,actiontype,action_type,FALSE,str,1,
AssistanceType,assistancetype,assistance_type,TRUE,str,2,TRUE
AwardDescription,awarddescription,award_description,TRUE,str,18000,
AwardeeOrRecipientLegalEntityName,awardeeorrecipientlegalentityname,awardee_or_recipient_legal,TRUE,str,120,
AwardeeOrRecipientUniqueIdentifier,awardeeorrecipientuniqueidentifier,awardee_or_recipient_uniqu,FALSE,str,9,
AwardingOfficeCode,awardingofficecode,awarding_office_code,FALSE,str,6,
AwardingSubTierAgencyCode,awardingsubtieragencycode,awarding_sub_tier_agency_c,FALSE,str,4,
AwardModificationAmendmentNumber,awardmodificationamendmentnumber,award_modification_amendme,FALSE,str,25,
BusinessFundsIndicator,businessfundsindicator,business_funds_indicator,TRUE,str,3,
BusinessTypes,businesstypes,business_types,TRUE,str,3,
CFDA_Number,cfda_number,cfda_number,TRUE,str,7,
CorrectionDeleteIndicator,correctiondeleteindicator,correction_delete_indicatr,FALSE,str,1,
FaceValueOfDirectLoanOrLoanGuarantee,facevalueofdirectloanorloanguarantee,face_value_loan_guarantee,FALSE,float,20,
FAIN,fain,fain,FALSE,str,30,
FederalActionObligation,federalactionobligation,federal_action_obligation,FALSE,float,20,
FundingOfficeCode,fundingofficecode,funding_office_code,FALSE,str,6,
FundingSubTierAgencyCode,fundingsubtieragencycode,funding_sub_tier_agency_co,FALSE,str,4,
LegalEntityAddressLine1,legalentityaddressline1,legal_entity_address_line1,FALSE,str,150,
LegalEntityAddressLine2,legalentityaddressline2,legal_entity_address_line2,FALSE,str,150,
LegalEntityCongressionalDistrict,legalentitycongressionaldistrict,legal_entity_congressional,FALSE,str,2,TRUE
LegalEntityCountryCode,legalentitycountrycode,legal_entity_country_code,TRUE,str,3,
LegalEntityForeignCityName,legalentityforeigncityname,legal_entity_foreign_city,FALSE,str,40,
LegalEntityForeignPostalCode,legalentityforeignpostalcode,legal_entity_foreign_posta,FALSE,str,50,
LegalEntityForeignProvinceName,legalentityforeignprovincename,legal_entity_foreign_provi,FALSE,str,25,
LegalEntityZIP5,legalentityzip5,legal_entity_zip5,FALSE,str,5,
LegalEntityZIPLast4,legalentityziplast4,legal_entity_zip_last4,FALSE,str,4,
NonFederalFundingAmount,nonfederalfundingamount,non_federal_funding_amount,FALSE,float,20,
OriginalLoanSubsidyCost,originalloansubsidycost,original_loan_subsidy_cost,FALSE,float,20,
PeriodOfPerformanceCurrentEndDate,periodofperformancecurrentenddate,period_of_performance_curr,FALSE,str,8,
PeriodOfPerformanceStartDate,periodofperformancestartdate,period_of_performance_star,FALSE,str,8,
PrimaryPlaceOfPerformanceCode,primaryplaceofperformancecode,place_of_performance_code,FALSE,str,7,
PrimaryPlaceOfPerformanceCongressionalDistrict,primaryplaceofperformancecongressionaldistrict,place_of_performance_congr,FALSE,str,2,TRUE
PrimaryPlaceOfPerformanceCountryCode,primaryplaceofperformancecountrycode,place_of_perform_country_c,FALSE,str,3,
PrimaryPlaceOfPerformanceForeignLocationDescription,primaryplaceofperformanceforeignlocationdescription,place_of_performance_forei,FALSE,str,100,
PrimaryPlaceOfPerformanceZIP+4,primaryplaceofperformancezip+4,place_of_performance_zip4a,FALSE,str,10,
RecordType,recordtype,record_type,TRUE,int,1,
SAI_Number,sai_number,sai_number,FALSE,str,50,
URI,uri,uri,FALSE,str,70,
