ATA,AID,"Availability,Type Code",BPOA,EPOA,Main Account,Sub Account,Fiscal Year,Period,Line Num,Amount Summed
 ,27,X, , ,100,0,2016,6,1000,25978679.97
 ,27,X, , ,100,0,2016,6,1012,1200000
 ,27,X, , ,100,0,2016,6,1021,701792.88
 ,27,X, , ,100,0,2016,6,1033,1098372.78
 ,27,X, , ,100,0,2016,6,1160,0
 ,27,X, , ,100,0,2016,6,1750,501012497
 ,27,X, , ,100,0,2016,6,1910,529991342.6
 ,27,X, , ,100,0,2016,6,2190,257698346.3
 ,27,X, , ,100,0,2016,6,2500,529991342.6
 ,27,X, , ,100,0,2016,6,3020,-227080392.3
 ,27, ,2011,2011,100,0,2016,6,1000,1550660.87
 ,27, ,2011,2011,100,0,2016,6,1012,-1200000
 ,27, ,2011,2011,100,0,2016,6,1021,5369.94
 ,27, ,2011,2011,100,0,2016,6,1750,0
 ,27, ,2011,2011,100,0,2016,6,1910,356030.81
 ,27, ,2011,2011,100,0,2016,6,2190,71910.45
 ,27, ,2011,2011,100,0,2016,6,2500,356030.81
 ,27, ,2011,2011,100,0,2016,6,3020,-71910.45
 ,27, ,2012,2012,100,0,2016,6,1000,1236836.59
 ,27, ,2012,2012,100,0,2016,6,1021,352855.99
 ,27, ,2012,2012,100,0,2016,6,1033,40718.8
 ,27, ,2012,2012,100,0,2016,6,1750,0
 ,27, ,2012,2012,100,0,2016,6,1910,1630411.38
 ,27, ,2012,2012,100,0,2016,6,2190,77414.61
 ,27, ,2012,2012,100,0,2016,6,2500,1630411.38
 ,27, ,2012,2012,100,0,2016,6,3020,-69714.61
 ,27, ,2013,2013,100,0,2016,6,1000,317960.12
 ,27, ,2013,2013,100,0,2016,6,1021,484632.05
 ,27, ,2013,2013,100,0,2016,6,1033,7431.67
 ,27, ,2013,2013,100,0,2016,6,1750,0
 ,27, ,2013,2013,100,0,2016,6,1910,810023.84
 ,27, ,2013,2013,100,0,2016,6,2190,2948.8
 ,27, ,2013,2013,100,0,2016,6,2500,810023.84
 ,27, ,2013,2013,100,0,2016,6,3020,-93731.88
 ,27, ,2014,2014,100,0,2016,6,1000,170362.04
 ,27, ,2014,2014,100,0,2016,6,1021,6938.84
 ,27, ,2014,2014,100,0,2016,6,1033,566.93
 ,27, ,2014,2014,100,0,2016,6,1750,0
 ,27, ,2014,2014,100,0,2016,6,1910,177867.81
 ,27, ,2014,2014,100,0,2016,6,2190,2999
 ,27, ,2014,2014,100,0,2016,6,2500,177867.81
 ,27, ,2014,2014,100,0,2016,6,3020,-118288.14
 ,27, ,2015,2015,100,0,2016,6,1000,94705.54
 ,27, ,2015,2015,100,0,2016,6,1021,5463.73
 ,27, ,2015,2015,100,0,2016,6,1033,23.42
 ,27, ,2015,2015,100,0,2016,6,1750,0
 ,27, ,2015,2015,100,0,2016,6,1910,100192.69
 ,27, ,2015,2015,100,0,2016,6,2190,1301.86
 ,27, ,2015,2015,100,0,2016,6,2500,100192.69
 ,27, ,2015,2015,100,0,2016,6,3020,-228357.69
 ,27, ,2016,2016,100,0,2016,6,1750,4000000
 ,27, ,2016,2016,100,0,2016,6,1910,4000000
 ,27, ,2016,2016,100,0,2016,6,2500,4000000
 ,27,X, , ,300,0,2016,6,1000,2768705.41
 ,27,X, , ,300,0,2016,6,1910,2768705.41
 ,27,X, , ,300,0,2016,6,2190,16624.16
 ,27,X, , ,300,0,2016,6,2500,2768705.41
 ,27,X, , ,300,0,2016,6,3020,-28232.75
 ,27,X, , ,4133,0,2016,6,1000,3343269.18
 ,27,X, , ,4133,0,2016,6,1850,2014.18
 ,27,X, , ,4133,0,2016,6,1910,3345283.36
 ,27,X, , ,4133,0,2016,6,2190,3343269.18
 ,27,X, , ,4133,0,2016,6,2500,3345283.36
 ,27,X, , ,4133,0,2016,6,3020,-3343269.18
 ,27,X, , ,5183,0,2016,6,1000,-3808301359
 ,27,X, , ,5183,0,2016,6,1021,623489843
 ,27,X, , ,5183,0,2016,6,1033,27402672.42
 ,27,X, , ,5183,0,2016,6,1260,4943945039
 ,27,X, , ,5183,0,2016,6,1850,372251479.3
 ,27,X, , ,5183,0,2016,6,1910,2158787675
 ,27,X, , ,5183,0,2016,6,2190,4261325398
 ,27,X, , ,5183,0,2016,6,2500,2158787675
 ,27,X, , ,5183,0,2016,6,3020,-4922249217
